CITY,NAICSDESCR,X,Y
PROVO,CHURCHES,-111.6659695,40.2181857
SALT LAKE CITY,CHURCHES,-111.8345947,40.7077623
PROVO,CHURCHES,-111.6378178,40.2902258
FRESNO,CHURCHES,-119.7480314,36.7536085
PROVO,CHURCHES,-111.6422431,40.2434768
PROVO,CHURCHES,-111.647185,40.287387
PROVO,CHURCHES,-111.6522134,40.2724694
BEND,CHURCHES,-121.2773991,44.0800213
PROVO,CHURCHES,-111.6776281,40.2482172
PROVO,CHURCHES,-111.6814529,40.2493965
PROVO,CHURCHES,-111.6439802,40.2639697
PROVO,CHURCHES,-111.6310821,40.2604816
PROVO,CHURCHES,-111.6698377,40.2301444
PROVO,CHURCHES,-111.6378223,40.2902334
PROVO,CHURCHES,-111.6659617,40.2181857
PROVO,CHURCHES,-111.660929,40.2438787
BEAVER,CHURCHES,-112.6373271,38.2738947
PROVO,CHURCHES,-111.6420259,40.2321221
PROVO,CHURCHES,-111.6563873,40.2314525
PROVO,CHURCHES,-111.669841,40.2301472
SALT LAKE CITY,CHURCHES,-111.8396106,40.6341635
PROVO,CHURCHES,-111.639852,40.2243293
PROVO,CHURCHES,-111.6352562,40.2467671
PROVO,CHURCHES,-111.6705775,40.2440827
PROVO,CHURCHES,-111.6422374,40.2434685
PROVO,CHURCHES,-111.666729,40.2225566
PROVO,CHURCHES,-111.6770962,40.2207051
PROVO,CHURCHES,-111.639692,40.2660115
PROVO,CHURCHES,-111.6493683,40.2360349
PROVO,CHURCHES,-111.6636318,40.2967897
BAKER CITY,CHURCHES,-117.8136507,44.7909277
PROVO,CHURCHES,-111.6468806,40.2719321
PROVO,CHURCHES,-111.6667219,40.222568
BEND,CHURCHES,-121.2662687,44.0852096
PROVO,CHURCHES,-111.6303783,40.2094818
PROVO,CHURCHES,-111.6565186,40.2591932
PROVO,CHURCHES,-111.6741725,40.2632875
PROVO,CHURCHES,-111.6321284,40.2233915
PROVO,CHURCHES,-111.64919,40.2776274
PROVO,CHURCHES,-111.639702,40.2660054
SALT LAKE CITY,CHURCHES,-111.8843809,40.7676534
PROVO,CHURCHES,-111.7001698,40.235041
PROVO,CHURCHES,-111.7042687,40.2314469
PROVO,CHURCHES,-111.7001693,40.2350311
PROVO,CHURCHES,-111.675162,40.2355848
SALT LAKE CITY,CHURCHES,-111.8506852,40.701525
SALT LAKE CITY,CHURCHES,-111.870193,40.6886006
PROVO,CHURCHES,-111.6321305,40.2233921
PROVO,CHURCHES,-111.6772012,40.2133694
PROVO,CHURCHES,-111.6487049,40.2425967
PROVO,CHURCHES,-111.6693805,40.2149779
SALT LAKE CITY,CHURCHES,-111.8217637,40.7412455
SALT LAKE CITY,CHURCHES,-111.8981738,40.7797232
PROVO,CHURCHES,-111.6602939,40.309555
PROVO,CHURCHES,-111.6439683,40.2639787
PROVO,CHURCHES,-111.6398504,40.2243289
PROVO,CHURCHES,-111.6751685,40.2355858
PROVO,CHURCHES,-111.6902862,40.2551721
SALT LAKE CITY,CHURCHES,-111.9315611,40.7434159
PROVO,CHURCHES,-111.6363648,40.2300895
SALT LAKE CITY,CHURCHES,-111.9315588,40.7434161
PROVO,CHURCHES,-111.681452,40.2493964
KANAB,CHURCHES,-112.5280809,37.0544005
SALT LAKE CITY,CHURCHES,-111.8504398,40.7757205
SALT LAKE CITY,CHURCHES,-111.9276641,40.739192
SALT LAKE CITY,CHURCHES,-111.9254351,40.7414027
PROVO,CHURCHES,-111.6521558,40.2420479
PROVO,CHURCHES,-111.6741725,40.2632865
PROVO,CHURCHES,-111.6387743,40.2749557
PROVO,CHURCHES,-111.6425172,40.2549183
PROVO,CHURCHES,-111.6425193,40.2549206
PROVO,CHURCHES,-111.6396994,40.2660075
PROVO,CHURCHES,-111.6903586,40.249326
PROVO,CHURCHES,-111.7083433,40.2419905
PROVO,CHURCHES,-111.6310811,40.2604826
PROVO,CHURCHES,-111.6522349,40.2724824
PROVO,CHURCHES,-111.6321305,40.2233921
BEND,CHURCHES,-121.2681507,44.0364444
PROVO,CHURCHES,-111.6565191,40.2592032
PROVO,CHURCHES,-111.6468227,40.2608963
PROVO,CHURCHES,-111.7103353,40.2567717
PROVO,CHURCHES,-111.6378149,40.2902351
SALT LAKE CITY,CHURCHES,-111.836936,40.7388277
PROVO,CHURCHES,-111.6975452,40.2422551
PROVO,CHURCHES,-111.6776155,40.2482151
PROVO,CHURCHES,-111.6640647,40.2822374
PROVO,CHURCHES,-111.6902862,40.2551696
PROVO,CHURCHES,-111.6363419,40.2474537
PROVO,CHURCHES,-111.6521558,40.2420479
PROVO,CHURCHES,-111.636346,40.2474596
BEND,CHURCHES,-121.2470683,44.0884421
PROVO,CHURCHES,-111.6868935,40.2316667
SALT LAKE CITY,CHURCHES,-111.895221,40.774337
SALT LAKE CITY,CHURCHES,-111.7873344,40.6778057
PROVO,CHURCHES,-111.6868933,40.2316662
PROVO,CHURCHES,-111.6705705,40.2440762
PROVO,CHURCHES,-111.6361733,40.2225875
PROVO,CHURCHES,-111.6682244,40.2469477
PROVO,CHURCHES,-111.6303735,40.2094833
PROVO,CHURCHES,-111.6420378,40.232113
PROVO,CHURCHES,-111.6667198,40.2225875
PROVO,CHURCHES,-111.6420297,40.2321222
PROVO,CHURCHES,-111.6486874,40.2425765
PROVO,CHURCHES,-111.6363626,40.2300886
PROVO,CHURCHES,-111.6640647,40.2822465
PROVO,CHURCHES,-111.636349,40.2474613
PROVO,CHURCHES,-111.6771894,40.2133657
PROVO,CHURCHES,-111.6521519,40.2420437
PROVO,CHURCHES,-111.6565072,40.2591941
PROVO,CHURCHES,-111.6468167,40.2608947
PROVO,CHURCHES,-111.6521534,40.2420461
PROVO,CHURCHES,-111.6487525,40.2662418
PROVO,CHURCHES,-111.6664638,40.2200674
LAYTON,CHURCHES,-111.9827881,41.0894598
PROVO,CHURCHES,-111.6487055,40.2425912
PROVO,CHURCHES,-111.6868939,40.2316685
PROVO,CHURCHES,-111.6903586,40.249326
PROVO,CHURCHES,-111.7001711,40.2350324
PROVO,CHURCHES,-111.65954,40.2469299
PROVO,CHURCHES,-111.6532302,40.2902009
PROVO,CHURCHES,-111.6825943,40.2548086
PROVO,CHURCHES,-111.6565095,40.2591914
PROVO,CHURCHES,-111.6975513,40.2422519
PROVO,CHURCHES,-111.6771955,40.2133681
PROVO,CHURCHES,-111.6422431,40.2434859
PROVO,CHURCHES,-111.6363675,40.2300882
PROVO,CHURCHES,-111.6693924,40.2149769
PROVO,CHURCHES,-111.642255,40.2434768
PROVO,CHURCHES,-111.6425204,40.2549186
PROVO,CHURCHES,-111.653229,40.2902044
PROVO,CHURCHES,-111.6693805,40.2149769
PIXLEY,CHURCHES,-119.2766354,35.9422218
PROVO,CHURCHES,-111.6422365,40.243474
PROVO,CHURCHES,-111.6491919,40.2776279
PROVO,CHURCHES,-111.6521509,40.2420479
DELANO,CHURCHES,-119.2498946,35.7604292
PROVO,CHURCHES,-111.6487406,40.2662418
PROVO,CHURCHES,-111.6565144,40.2591947
PROVO,CHURCHES,-111.6563866,40.2314523
PROVO,CHURCHES,-111.6425227,40.2549227
PROVO,CHURCHES,-111.6664469,40.2200638
PROVO,CHURCHES,-111.6422374,40.2434743
PROVO,CHURCHES,-111.6751685,40.2355905
PROVO,CHURCHES,-111.6422431,40.2434859
PROVO,CHURCHES,-111.6303735,40.209481
PROVO,CHURCHES,-111.6628737,40.2223289
PROVO,CHURCHES,-111.6771892,40.2369207
PROVO,CHURCHES,-111.6361741,40.2225871
PROVO,CHURCHES,-111.660929,40.2438768
PROVO,CHURCHES,-111.6352384,40.2467781
PROVO,CHURCHES,-111.7103363,40.256772
PROVO,CHURCHES,-111.6751624,40.2355821
PROVO,CHURCHES,-111.6975452,40.2422565
PASO ROBLES,CHURCHES,-120.6878853,35.6346777
PROVO,CHURCHES,-111.6902862,40.2551721
PROVO,CHURCHES,-111.6425137,40.2549115
PROVO,CHURCHES,-111.6704632,40.2387334
PROVO,CHURCHES,-111.6664638,40.2200674
PROVO,CHURCHES,-111.6565095,40.2591914
PROVO,CHURCHES,-111.6422431,40.2434859
