Importer,Exporter,total
VN,CN,200
CN,GB,1
HK,GB,15
US,KH,1
AE,IT,4
AM,MC,2
AZ,IT,8
BE,MC,2
BL,IT,1
CH,DE,30
CH,IT,93
CH,MC,2
CH,SG,2
CN,FR,7
CN,IT,1
CN,IT,100
CN,MC,2
FR,CO,934
FR,MC,4
GB,MC,2
HK,CO,21
HK,FR,7
HK,IT,6
HK,IT,4
HK,IT,12
IN,MC,2
IT,CO,231
JP,CH,22
JP,DE,73
JP,IT,2
JP,IT,19
JP,SG,20
KR,DE,12
KR,ES,3
KR,IT,14
MC,IT,452
QA,MC,2
RO,MC,18
RU,IT,23
RU,MC,6
SA,IT,2
SG,CO,600
SG,IT,2
TR,IT,16
UA,IT,1
UA,IT,1
UA,MC,12
US,MC,18
UZ,IT,128
XX,IT,3
XX,MC,218
US,AU,4
AE,UG,2
AE,UG,1
AT,NA,2
CH,DE,1
CH,FR,1
CN,ES,16
CZ,ZA,11
DE,CH,29
DE,NA,1
DE,NA,2
FR,JP,20.84
FR,JP,5.5
FR,JP,17.32
JP,FR,13.17
JP,FR,1
JP,FR,2
KR,US,3
MY,SG,1
NO,CH,1
PT,SN,85
RU,NA,1
SA,TR,1
SG,FR,1
SN,US,1
TR,CH,5
TR,CH,17
TR,CH,26
TR,ES,18
TR,ES,60
TR,ES,1
TR,IT,2
TR,NL,1
TW,FR,1
UG,AE,2
UG,AE,2
US,CA,21
US,CH,3
US,ES,24
US,FR,3
US,GB,1
US,GB,1
US,KR,2
US,LT,1
US,MX,2
US,MX,2
US,NA,1
US,NA,2
US,SD,2
US,SG,1
US,TH,1
US,TR,4
US,ZM,1
ZA,NA,1
AE,FR,1
AE,FR,3
AE,FR,3
AE,FR,2
AE,FR,35
AE,IT,2
AE,IT,16
AE,IT,1
AU,FR,11
AU,IT,1
AU,SG,14750
AZ,IT,2
AZ,IT,1
AZ,IT,1
BD,MY,100
BH,FR,1
BH,FR,3
BL,IT,13
BN,FR,2
BR,FR,3
CG,IT,1
CH,DE,3
CH,FR,1
CH,FR,7
CH,FR,7
CH,FR,4
CH,FR,1.5
CH,FR,168.16
CH,FR,5
CH,GB,10
CH,IT,13
CN,FR,4
CN,FR,3
CN,FR,433
CN,FR,3
CN,FR,1.33
CN,FR,17
CN,FR,1066
CN,FR,33
CN,IT,1
CN,IT,2
CN,IT,6
CN,IT,4
CN,IT,33
CN,IT,11
