Year,App.,Class,Order,Importer,Exporter,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source
2016,I,Aves,Psittaciformes,BH,BE,1,,live,T,C
2016,I,Aves,Psittaciformes,CA,US,,1,live,P,C
2016,I,Aves,Psittaciformes,CH,ES,,1,live,T,C
2016,I,Aves,Psittaciformes,CH,FR,,1,live,T,C
2016,I,Aves,Psittaciformes,JP,SG,1,1,live,T,D
2016,I,Aves,Psittaciformes,KR,PH,,1,live,Z,C
2016,I,Aves,Psittaciformes,LT,CA,1,,live,P,F
2016,I,Aves,Psittaciformes,NL,SG,,6,specimens,M,C
2016,I,Aves,Psittaciformes,NL,SG,,3,specimens,S,C
2016,I,Aves,Psittaciformes,NO,DK,,1,live,T,C
2016,I,Aves,Psittaciformes,NO,DK,2,1,live,T,C
2016,I,Aves,Psittaciformes,NZ,ZA,1,,bodies,T,C
2016,I,Aves,Psittaciformes,PA,NL,,4,live,T,C
2016,I,Aves,Psittaciformes,TW,BE,,1,live,T,C
2016,I,Aves,Psittaciformes,TW,BE,,1,live,T,C
2016,I,Aves,Psittaciformes,TW,BE,,2,live,T,C
2016,I,Aves,Psittaciformes,TW,BE,,1,live,T,C
2016,I,Aves,Psittaciformes,TW,BE,,1,live,T,C
2016,I,Aves,Psittaciformes,TW,BE,,2,live,T,F
2016,I,Aves,Psittaciformes,TW,SG,,30,live,B,C
2016,I,Aves,Psittaciformes,US,CA,1,,live,P,F
2016,I,Aves,Psittaciformes,US,CA,1,,live,P,C
2016,I,Aves,Psittaciformes,US,SG,,24,specimens,M,C
2016,I,Aves,Psittaciformes,US,XX,1,,live,P,F
2016,I,Aves,Psittaciformes,XX,US,,1,live,P,F
2016,I,Aves,Psittaciformes,BG,UZ,,4,live,T,C
2016,I,Aves,Psittaciformes,CZ,ZA,4,,live,P,C
2016,I,Aves,Psittaciformes,DE,PH,,28,feathers,M,C
2016,I,Aves,Psittaciformes,DE,PH,,20,live,B,C
2016,I,Aves,Psittaciformes,DE,PH,5,1,live,T,C
2016,I,Aves,Psittaciformes,DE,PH,,12,specimens,M,C
2016,I,Aves,Psittaciformes,DE,PH,,56,specimens,M,C
2016,I,Aves,Psittaciformes,DE,PH,100,,specimens,S,C
2016,I,Aves,Psittaciformes,FR,SG,,5,specimens,Z,C
2016,I,Aves,Psittaciformes,GR,PH,2,,live,Z,C
2016,I,Aves,Psittaciformes,IR,KW,,4,live,T,C
2016,I,Aves,Psittaciformes,NL,SG,,9,specimens,M,C
2016,I,Aves,Psittaciformes,NL,SG,,11,specimens,S,C
2016,I,Aves,Psittaciformes,PH,TH,20,,live,B,C
2016,I,Aves,Psittaciformes,SA,KW,,5,live,P,C
